"name","group","party","birth_date","birth_place","link_email","link_twitt","link_fb","link_instagram","link_linkedin","link_website","link_youtube","link_telegram","link_blog","link_europeanblog"
"Marc Angel","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Luxembourg
						 
							 - Parti ouvrier socialiste luxembourgeois (Luxembourg)","1963-03-12","Luxembourg-Ville","ue[dot]aporue.lraporue[at]legna.cram","https://x.com/marcangel_lu","https://www.facebook.com/MarcAngelLuxembourg/","https://www.instagram.com/marcangel_mep/","https://www.linkedin.com/in/marc-angel-0b3a282/?originalSubdomain=lu",NA,NA,NA,NA,NA
"Gerolf Annemans","Patriots for Europe Group","Belgium
						 
							 - Vlaams Belang (Belgium)","1958-11-08","Antwerpen","ue[dot]aporue.lraporue[at]snamenna.floreg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lucia Annunziata","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1950-08-08","Sarno","ue[dot]aporue.lraporue[at]ataiznunna.aicul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giuseppe Antoci","The Left group in the European Parliament - GUE/NGL","Italy
						 
							 - Movimento 5 Stelle (Italy)","1968-01-11","Santo Stefano di Camastra","ue[dot]aporue.lraporue[at]icotna.eppesuig",NA,"https://www.facebook.com/antocipeppe",NA,NA,NA,NA,NA,NA,NA
"Pablo Arias Echeverría","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1970-06-30","Madrid","ue[dot]aporue.lraporue[at]airrevehcesaira.olbap","https://x.com/pabloariase?lang=en",NA,"https://www.instagram.com/pabloarias_eu/?igsh=MTJ0M2Z3dWE2Y3owdw%3D%3D&utm_source=qr",NA,NA,NA,NA,NA,NA
"Pascal Arimont","Group of the European People's Party (Christian Democrats)","Belgium
						 
							 - Christlich Soziale Partei (Belgium)","1974-09-25","Malmedy","ue[dot]aporue.lraporue[at]tnomira.lacsap","https://twitter.com/pascal_arimont","https://www.facebook.com/pascalarimont.official","https://www.instagram.com/pascalarimontmep/",NA,"https://pascal-arimont.eu/",NA,NA,NA,NA
"Bartosz Arłukowicz","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1971-12-30","Resko","ue[dot]aporue.lraporue[at]zciwokulra.zsotrab","https://x.com/Arlukowicz",NA,NA,NA,NA,NA,NA,NA,NA
"Sakis Arnaoutoglou","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Greece
						 
							 - PASOK-KINAL (Greece)",NA,NA,"ue[dot]aporue.lraporue[at]uolgotuoanra.sikas","https://x.com/S_Arnaoutoglou","https://www.facebook.com/SakisArnaoutoglouForecasts/","https://www.instagram.com/sakisarnaoutoglou/","https://gr.linkedin.com/in/sakis-arnaoutoglou",NA,NA,NA,NA,NA
"Anja Arndt","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]tdnra.ajna",NA,NA,"https://www.instagram.com/anja.arndt.afd",NA,NA,NA,NA,NA,NA
"Konstantinos Arvanitis","The Left group in the European Parliament - GUE/NGL","Greece
						 
							 - Coalition of the Radical Left (Greece)","1964-06-09","Athens","ue[dot]aporue.lraporue[at]sitinavra.sonitnatsnok",NA,"https://www.facebook.com/arvanitis.kostas","https://www.instagram.com/karvanitis16/",NA,NA,NA,NA,NA,NA
"Jaume Asens Llodrà","Group of the Greens/European Free Alliance","Spain
						 
							 - Movimiento Sumar (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]snesa.emuaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francisco Assis","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Portugal
						 
							 - Partido Socialista (Portugal)","1965-01-08","Amarante","ue[dot]aporue.lraporue[at]sissa.ocsicnarf",NA,"https://www.facebook.com/people/Francisco-Assis/61569298170270/","https://www.instagram.com/franciscoassis.deputado/",NA,"https://linktr.ee/franciscoassis.deputado","https://www.youtube.com/channel/UCL9_ihH20F339Q-2EfCHFeg",NA,NA,NA
"Daniel Attard","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Malta
						 
							 - Partit Laburista (Malta)","1992-04-18","Pieta","ue[dot]aporue.lraporue[at]dratta.leinad",NA,"https://www.facebook.com/AttardDa","https://www.instagram.com/daniel__attard","https://www.linkedin.com/in/daniel-attard-562b8188?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app",NA,NA,NA,NA,NA
"Manon Aubry","The Left group in the European Parliament - GUE/NGL","France
						 
							 - La France Insoumise (France)","1989-12-22","Frejus","ue[dot]aporue.lraporue[at]yrbua.nonam","https://twitter.com/manonaubryfr","https://www.facebook.com/ManonAubryFR","https://www.instagram.com/manonaubryfr",NA,NA,"https://www.youtube.com/channel/UCyX-_BipdNpdFgeZEQBNstA/featured",NA,NA,NA
"René Aust","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)","1987-04-24","Luedinghausen","ue[dot]aporue.lraporue[at]tsua.ener","https://x.com/Rene_Aust?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://www.facebook.com/ReneAustAfD/","https://www.instagram.com/reneaust.afd/?hl=de",NA,"https://www.reneaust.eu/",NA,"https://t.me/reneaust",NA,NA
"Petras Auštrevičius","Renew Europe Group","Lithuania
						 
							 - Liberalų sąjūdis (Lithuania)","1963-05-16","Vilnius","ue[dot]aporue.lraporue[at]suicivertsua.sartep","https://twitter.com/petras_petras","https://www.facebook.com/PetroAustreviciausbiuras","https://www.instagram.com/austreviciuspetras/",NA,"http://www.austrevicius.lt","https://www.youtube.com/channel/UCFIpFiRedKVccpZOXUM0PJw",NA,NA,NA
"Adrian-George Axinia","European Conservatives and Reformists Group","Romania
						 
							 - Alianța pentru Unirea Românilor (Romania)",NA,NA,"ue[dot]aporue.lraporue[at]ainixa.egroeg-nairda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malik Azmani","Renew Europe Group","Netherlands
						 
							 - Volkspartij voor Vrijheid en Democratie (Netherlands)","1976-01-20","Heerenveen","ue[dot]aporue.lraporue[at]inamza.kilam","https://twitter.com/MalikAzmani","https://www.facebook.com/MalikAzmaniVVD",NA,NA,NA,NA,NA,NA,NA
"Thomas Bajada","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Malta
						 
							 - Partit Laburista (Malta)","1994-06-13","VICTORIA","ue[dot]aporue.lraporue[at]adajab.samoht",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeannette Baljeu","Renew Europe Group","Netherlands
						 
							 - Volkspartij voor Vrijheid en Democratie (Netherlands)","1967-08-07",NA,"ue[dot]aporue.lraporue[at]uejlab.elocinettennaej",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laura Ballarín Cereza","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]azerecnirallab.arual","https://x.com/lauballarin","https://www.facebook.com/lauballarin","https://www.instagram.com/lau_ballarin/","https://be.linkedin.com/in/lauballarin",NA,NA,NA,NA,NA
"Jordan Bardella","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1995-09-13","Drancy","ue[dot]aporue.lraporue[at]alledrab.nadroj","https://twitter.com/J_Bardella","https://www.facebook.com/JordanBardella/","https://www.instagram.com/jordanbardella/",NA,NA,NA,NA,NA,NA
"Katarina Barley","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1968-11-19","Köln","ue[dot]aporue.lraporue[at]yelrab.aniratak","https://twitter.com/KATARINABARLEY","https://www.facebook.com/katarina.barley/","https://www.instagram.com/katarina.barley/",NA,NA,NA,NA,NA,NA
"Dan Barna","Renew Europe Group","Romania
						 
							 - Uniunea Salvați România (Romania)","1975-07-10","Sibiu","ue[dot]aporue.lraporue[at]anrab.nad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pernando Barrena Arza","The Left group in the European Parliament - GUE/NGL","Spain
						 
							 - EH BILDU (Spain)","1965-11-01","Pamplona","ue[dot]aporue.lraporue[at]anerrab.odnanrep",NA,NA,"https://www.instagram.com/per_barrena/",NA,NA,NA,NA,NA,NA
"Stephen Nikola Bartulica","European Conservatives and Reformists Group","Croatia
						 
							 - Dom i nacionalno okupljanje (Croatia)",NA,NA,"ue[dot]aporue.lraporue[at]acilutrab.alokinnehpets","https://x.com/stjepobartulica","https://www.facebook.com/stephennikolabartulica/","https://www.instagram.com/stjepobartulica/","https://hr.linkedin.com/in/stephennikola-bartulica",NA,"https://www.youtube.com/@BartulicaStjepo",NA,NA,NA
"Nikola Bartůšek","Patriots for Europe Group","Czechia
						 
							 - Přísaha (Czechia)","1985-05-11","České Budějovice","ue[dot]aporue.lraporue[at]kesutrab.alokin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arno Bausemer","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]remesuab.onra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicolas Bay","European Conservatives and Reformists Group","France
						 
							 - Identité Libertés (France)","1977-12-21","Saint-Germain-en-Laye","ue[dot]aporue.lraporue[at]yab.salocin","https://twitter.com/NicolasBay_","https://www.facebook.com/NicolasBayFN/",NA,NA,NA,NA,NA,NA,NA
"Christophe Bay","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1962-09-06","Vincennes","ue[dot]aporue.lraporue[at]yab.ehpotsirhc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wouter Beke","Group of the European People's Party (Christian Democrats)","Belgium
						 
							 - Christen-Democratisch & Vlaams (Belgium)","1974-08-09","LOMMEL","ue[dot]aporue.lraporue[at]ekeb.retuow","https://x.com/wbeke?mx=2","https://www.facebook.com/wouter.beke?locale=nl_NL","https://www.instagram.com/wouterbekecdenv/",NA,"http://www.wouterbeke.be",NA,NA,NA,NA
"Fredis Beleris","Group of the European People's Party (Christian Democrats)","Greece
						 
							 - Nea Demokratia (Greece)","1972-08-09","Himarë","ue[dot]aporue.lraporue[at]sireleb.siderf-soisynoid","https://x.com/fredisbeleris",NA,NA,NA,NA,NA,NA,NA,NA
"François-Xavier Bellamy","Group of the European People's Party (Christian Democrats)","France
						 
							 - Les Républicains (France)","1985-10-11","Paris","ue[dot]aporue.lraporue[at]ymallebxf","https://twitter.com/fxbellamy","https://www.facebook.com/fx.bellamy/","https://www.instagram.com/fxbellamy/",NA,"https://www.fxbellamy.fr/",NA,NA,NA,NA
"Adrian-Dragoş Benea","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)","1975-12-18","Bacău","ue[dot]aporue.lraporue[at]aeneb.sogard-nairda",NA,"https://www.facebook.com/dragosbenea/",NA,NA,NA,NA,NA,NA,NA
"Brando Benifei","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1986-01-01","La Spezia","ue[dot]aporue.lraporue[at]iefineb.odnarb","https://twitter.com/brandobenifei","https://www.facebook.com/benifeibrando","https://www.instagram.com/brandobenifei",NA,"http://www.brandobenifei.it/",NA,NA,NA,NA
"Isabel Benjumea Benjumea","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1982-09-05","Madrid","ue[dot]aporue.lraporue[at]aemujneb.lebasi","https://twitter.com/IsabelBenjumea",NA,"https://www.instagram.com/ibenjumeab/","https://es.linkedin.com/in/isabel-benjumea-benjumea-480a2a43",NA,NA,NA,NA,NA
"Monika Beňová","Non-attached Members","Slovakia
						 
							 - SMER-Sociálna demokracia (Slovakia)","1968-08-15","Bratislava","ue[dot]aporue.lraporue[at]avoneb.akinom",NA,"https://www.facebook.com/monikabenovaep","https://www.instagram.com/monicabenova",NA,NA,NA,NA,NA,NA
"Hildegard Bentele","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1976-05-22","Ludwigsburg","ue[dot]aporue.lraporue[at]eletneb.dragedlih","https://twitter.com/hildebentele","https://www.facebook.com/hildegard.bentele.cdu/","https://www.instagram.com/hildebentele/","https://www.linkedin.com/in/hildegardbentele/?originalSubdomain=de","https://www.hildegard-bentele.eu/","https://www.youtube.com/channel/UCHb1tU63ew78ouYZnPr_U-A",NA,NA,NA
"Tom Berendsen","Group of the European People's Party (Christian Democrats)","Netherlands
						 
							 - Christen Democratisch Appèl (Netherlands)","1983-04-11","Breda","ue[dot]aporue.lraporue[at]nesdnereb.mot","https://twitter.com/tbwberendsen","https://www.facebook.com/TomBerendsenCDA","https://www.instagram.com/berendsen_tom/",NA,"http://tomberendsen.eu/",NA,NA,NA,NA
"Stefan Berger","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1969-09-15","Mönchengladbach","ue[dot]aporue.lraporue[at]regreb.nafets","https://twitter.com/DrStefanBerger","https://www.facebook.com/StefanBergerEU/","https://www.instagram.com/stefanberger_mdep",NA,"https://www.stefan-berger.de/",NA,NA,NA,NA
"Sibylle Berg","Non-attached Members","Germany
						 
							 - Die PARTEI (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]greb.ellybis","https://x.com/SibylleBerg?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor",NA,"https://www.instagram.com/sibylle_berg/?hl=de",NA,"https://sibylleberg.com/",NA,NA,NA,NA
"Sergio Berlato","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1959-07-27","MARANO VICENTINO","ue[dot]aporue.lraporue[at]otalreb.oigres","https://twitter.com/SERGIOBERLATO","https://www.facebook.com/SergioBerlato.paginaufficiale/","https://www.instagram.com/berlatosergioantonio_/",NA,NA,NA,NA,"http://www.sergioberlato.it/",NA
"Alexander Bernhuber","Group of the European People's Party (Christian Democrats)","Austria
						 
							 - Österreichische Volkspartei (Austria)","1992-05-18",NA,"ue[dot]aporue.lraporue[at]rebuhnreb.rednaxela",NA,"https://www.facebook.com/alexbernhuber/","https://www.instagram.com/alex_bernhuber/",NA,"https://www.alex-bernhuber.at/",NA,NA,NA,NA
"Robert Biedroń","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Poland
						 
							 - Nowa Lewica (Poland)","1976-04-13","Rymanów","ue[dot]aporue.lraporue[at]nordeib.trebor","https://twitter.com/robertbiedron","https://www.facebook.com/RobertBiedron/","https://www.instagram.com/robertbiedron",NA,NA,"https://www.youtube.com/channel/UCmVXZzyiiV1v--wtZ5OU5Sw",NA,NA,NA
"Adam Bielan","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)","1974-09-12","Gdańsk","ue[dot]aporue.lraporue[at]naleib.mada","http://twitter.com/AdamBielan","https://www.facebook.com/adambielan",NA,NA,"http://www.bielan.pl",NA,NA,NA,NA
"Gabriele Bischoff","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1961-01-04","Bad Wildungen","ue[dot]aporue.lraporue[at]ffohcsib.eleirbag","https://twitter.com/gabischoff",NA,"https://www.instagram.com/gabybischoff/",NA,NA,NA,NA,NA,NA
"Ľuboš Blaha","Non-attached Members","Slovakia
						 
							 - SMER-Sociálna demokracia (Slovakia)","1979-12-07","Bratislava","ue[dot]aporue.lraporue[at]ahalb.sobul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vilija Blinkevičiūtė","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Lithuania
						 
							 - Lietuvos socialdemokratų partija (Lithuania)","1960-03-03","Linkuva","ue[dot]aporue.lraporue[at]etuiciveknilb.ajiliv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rachel Blom","Patriots for Europe Group","Netherlands
						 
							 - Partij voor de Vrijheid (Netherlands)","1987-10-07","Rotterdam","ue[dot]aporue.lraporue[at]molb.lehcar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Bloss","Group of the Greens/European Free Alliance","Germany
						 
							 - Bündnis 90/Die Grünen (Germany)","1986-11-06","Filderstadt","ue[dot]aporue.lraporue[at]ssolb.leahcim","https://twitter.com/micha_bloss","https://www.facebook.com/michabloss","https://www.instagram.com/michabloss/","https://www.linkedin.com/in/michael-bloss-mep/?originalSubdomain=de","http://www.michaelbloss.eu","https://www.youtube.com/channel/UCwNOqBZiY94t0Deb_PF9Tyw",NA,NA,NA
"Tobiasz Bocheński","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)","1987-12-15","Lodz","ue[dot]aporue.lraporue[at]iksnehcob.zsaibot",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damian Boeselager","Group of the Greens/European Free Alliance","Germany
						 
							 - Volt (Germany)","1988-03-08","Frankfurt am Main","ue[dot]aporue.lraporue[at]regaleseob.naimad","https://twitter.com/d_boeselager","https://www.facebook.com/damian.boeselager","https://www.instagram.com/damian.boeselager",NA,"https://damianboeselager.org/","https://www.youtube.com/channel/UCHoSWFuDFjqQZseL7jAc5AA",NA,NA,NA
"Ioan-Rareş Bogdan","Group of the European People's Party (Christian Democrats)","Romania
						 
							 - Partidul Naţional Liberal (Romania)","1974-09-17","Ocna Mures","ue[dot]aporue.lraporue[at]nadgob.serar-naoi",NA,"https://www.facebook.com/Rares.I.Bogdan","https://www.instagram.com/rarbogdan/",NA,NA,NA,NA,NA,NA
"Stefano Bonaccini","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1967-01-01","Modena","ue[dot]aporue.lraporue[at]iniccanob.onafets",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbara Bonte","Patriots for Europe Group","Belgium
						 
							 - Vlaams Belang (Belgium)","1983-05-13","Brussels","ue[dot]aporue.lraporue[at]etnob.arabrab","https://x.com/Barbarabonte","https://www.facebook.com/profile.php?id=61556752824090","https://www.instagram.com/barbaravanilla",NA,NA,NA,NA,NA,NA
"Paolo Borchia","Patriots for Europe Group","Italy
						 
							 - Lega (Italy)","1980-05-27","NEGRAR","ue[dot]aporue.lraporue[at]aihcrob.oloap","https://twitter.com/paoloborchia?lang=en","https://www.facebook.com/PaoloBorchiaofficial/","https://www.instagram.com/paoloborchia/",NA,NA,NA,NA,NA,NA
"Mireia Borrás Pabón","Patriots for Europe Group","Spain
						 
							 - VOX (Spain)","1986-10-14","Madrid","ue[dot]aporue.lraporue[at]sarrob.aierim","https://twitter.com/_mireiaborras/status/1786708088570929481",NA,"https://www.instagram.com/mireia.borras/?hl=es","https://es.linkedin.com/in/mireia-borr%C3%A1s-pab%C3%B3n-38638163/es",NA,NA,NA,NA,NA
"Zsuzsanna Borvendég","Europe of Sovereign Nations Group","Hungary
						 
							 - Mi Hazánk Mozgalom (Hungary)","1974-11-04","Tatabanya","ue[dot]aporue.lraporue[at]gednevrob.annaszusz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biljana Borzan","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Croatia
						 
							 - Socijaldemokratska partija Hrvatske (Croatia)","1971-11-29","Osijek","ue[dot]aporue.lraporue[at]nazrob.anajlib","https://twitter.com/BiljanaBorzan","https://www.facebook.com/pages/Biljana-Borzan/478557245556978",NA,NA,"https://biljanaborzan.eu/",NA,NA,NA,NA
"Gordan Bosanac","Group of the Greens/European Free Alliance","Croatia
						 
							 - Možemo! (Croatia)","1973-09-18","Zagreb","ue[dot]aporue.lraporue[at]canasob.nadrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irmhild Boßdorf","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]frodssob.dlihmri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stine Bosse","Renew Europe Group","Denmark
						 
							 - Moderaterne (Denmark)","1960-12-21","Lyngby","ue[dot]aporue.lraporue[at]essob.enits","https://x.com/BosseStine?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor",NA,NA,"Stine Bosse",NA,NA,NA,NA,NA
"Marc Botenga","The Left group in the European Parliament - GUE/NGL","Belgium
						 
							 - Parti du Travail de Belgique (Belgium)","1980-12-29","Bruxelles","ue[dot]aporue.lraporue[at]agnetob.nahojcram","https://www.twitter.com/botengam","https://www.facebook.com/botengam","https://www.instagram.com/marcbotenga/",NA,NA,NA,NA,NA,NA
"Gilles Boyer","Renew Europe Group","France
						 
							 - Horizons (France)",NA,NA,"ue[dot]aporue.lraporue[at]reyob.sellig","https://twitter.com/gillesboyer",NA,NA,NA,NA,NA,NA,NA,NA
"Lynn Boylan","The Left group in the European Parliament - GUE/NGL","Ireland
						 
							 - Sinn Féin (Ireland)","1976-11-29","Dublin","ue[dot]aporue.lraporue[at]nalyob.nnyl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helmut Brandstätter","Renew Europe Group","Austria
						 
							 - NEOS – Das Neue Österreich (Austria)","1955-04-24","Wien","ue[dot]aporue.lraporue[at]retteatsdnarb.tumleh",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marie-Luce Brasier-Clain","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1959-10-19","Saint Pierre","ue[dot]aporue.lraporue[at]nialc-reisarb.ecul-eiram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grzegorz Braun","Non-attached Members","Poland
						 
							 - Konfederacja Korony Polskiej (Poland)","1967-03-11","Toruń","ue[dot]aporue.lraporue[at]nuarb.zrogezrg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Krzysztof Brejza","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1983-05-16","Bydgoszcz","ue[dot]aporue.lraporue[at]azjerb.fotzsyzrk","https://x.com/krzysztofbrejza","https://www.facebook.com/k.brejza/?locale=pl_PL","https://www.instagram.com/krzysztof_brejza/",NA,NA,NA,NA,NA,NA
